,HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Gender Inequality Index,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,1990,2000,2010,2012,2014,2015,2016,2017
40,41,Latvia,0.8471430391321962,74.719,15.75835,12.84377,25002.46509,8,0.19589219387769075,18,13.463,16,0.7043082193623357,0.7277630183652528,0.8162220821668447,0.8242207720079061,0.8378487135133912,0.8411212743183897,0.8436965619126446,0.8471430391321962
41,41,Portugal,0.8471133407128758,81.428,16.29655,9.19096,27315.3583,2,0.08778898024837589,10,9.398,34.7826087,0.7114092997838233,0.7846388288709483,0.8216549096570158,0.8287669812546801,0.8394061352384864,0.8416423237627575,0.8447151672085784,0.8471133407128758
42,43,Bahrain,0.8461083388636401,77.038,15.98681,9.41183,41579.92716,-19,0.22223560684904442,15,13.368,15,0.74560156502209,0.7917164020616759,0.796175905987011,0.7998415731533901,0.8101901417640094,0.8321600330704897,0.8458039876364273,0.8461083388636401
43,44,Chile,0.8428587807678302,79.732,16.40065,10.34355,21909.50098,13,0.3193048758709738,22,45.636,15.82278481,0.7011232230301462,0.759304481544003,0.808004807753761,0.8185228733232491,0.833084584930709,0.8395842455108543,0.8415329699937913,0.8428587807678302
44,45,Hungary,0.837844633948344,76.063,15.08309,11.88941,25392.97167,3,0.25859075402544984,17,19.678,10.05025126,0.703505509999007,0.7686317823306391,0.8228320430635111,0.8304134479500084,0.8326953889673328,0.8339570564624114,0.8351053138480794,0.837844633948344
45,46,Croatia,0.8311022788421122,77.807,14.96245,11.26731,22162.33726,10,0.12381550402264518,8,8.925,18.54304636,0.669634306447553,0.7497040623968226,0.8080951524568382,0.8164149502803718,0.8236942766230316,0.8268335799188825,0.8277577378058478,0.8311022788421122
46,47,Argentina,0.8248496500084135,76.738,17.42404,9.94943,18460.73665,19,0.3578723882620698,52,62.79,38.90577508,0.7041935990369873,0.7710516826161427,0.8134728280942767,0.8182275392018736,0.8199199921435755,0.8220960711246712,0.8217587592988095,0.8248496500084135
47,48,Oman,0.8209893952781286,77.258,13.9448688,9.54601,36290.24957,-19,0.2642395108548099,17,7.135,8.823529412,..,0.7041593987443376,0.7929478531609532,0.804185296948814,0.8149351176298408,0.822096563031024,0.82217866506432,0.8209893952781286
48,49,Russian Federation,0.8162754867030123,71.222,15.53573,12.01999,24232.5558,3,0.25745810745039466,25,21.553,16.12903226,0.7335204558922314,0.720078976720064,0.779776477461156,0.7976760133302443,0.8073466224810416,0.8126673923546415,0.8147656495518454,0.8162754867030123
49,50,Montenegro,0.8136923018899812,77.271,14.90172,11.28716,16778.70192,19,0.13234398851407936,7,11.797,23.45679012,..,..,0.7933018719062417,0.7999457814027404,0.8052561657274608,0.8086806401824082,0.8103067460337161,0.8136923018899812
